"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2016","1.4542","1.4351","1.4583","1.4315","17.38K","1.76%"
"09/21/2016","1.4290","1.4089","1.4400","1.4080","27.81K","1.71%"
"09/20/2016","1.4050","1.3945","1.4124","1.3700","43.78K","0.76%"
"09/19/2016","1.3944","1.4116","1.4382","1.3931","48.10K","-0.76%"
"09/16/2016","1.4051","1.4094","1.4199","1.3955","61.64K","-0.78%"
"09/15/2016","1.4162","1.3888","1.4271","1.3801","58.47K","2.50%"
"09/14/2016","1.3817","1.4153","1.4258","1.3790","66.53K","-2.90%"
"09/13/2016","1.4229","1.4370","1.4500","1.4148","69.92K","-1.29%"
"09/12/2016","1.4415","1.4276","1.4512","1.4039","54.29K","0.78%"
"09/09/2016","1.4304","1.4767","1.4772","1.4285","66.41K","-3.49%"
"09/08/2016","1.4822","1.4389","1.4870","1.4330","62.00K","3.90%"
"09/07/2016","1.4265","1.4124","1.4400","1.4007","60.81K","1.28%"
"09/06/2016","1.4085","1.4059","1.4747","1.3907","56.41K","-1.22%"
"09/05/2016","1.4259","1.4007","1.4743","1.3986","","1.78%"
"09/04/2016","1.4009","1.4053","1.4078","1.4009","","-0.62%"
"09/02/2016","1.4096","1.3913","1.4151","1.3794","49.25K","2.00%"
"09/01/2016","1.3819","1.4317","1.4358","1.3767","64.45K","-2.01%"
"08/31/2016","1.4102","1.4615","1.4644","1.4059","7.77K","-4.14%"
"08/30/2016","1.4711","1.4859","1.5033","1.4620","18.46K","-1.02%"
"08/29/2016","1.4862","1.4939","1.4959","1.4725","20.14K","-0.73%"
"08/26/2016","1.4972","1.5091","1.5302","1.4830","24.98K","-0.81%"
"08/25/2016","1.5094","1.4933","1.5117","1.4766","24.79K","0.88%"
"08/24/2016","1.4963","1.4955","1.5100","1.4825","29.11K","-0.37%"
"08/23/2016","1.5018","1.4850","1.5146","1.4663","26.62K","1.04%"
"08/22/2016","1.4864","1.5143","1.5167","1.4812","29.66K","-2.18%"
"08/19/2016","1.5196","1.5236","1.5324","1.5028","36.04K","-0.42%"
"08/18/2016","1.5260","1.4914","1.5297","1.4838","55.33K","2.47%"
"08/17/2016","1.4892","1.4572","1.4931","1.4460","68.10K","1.91%"
"08/16/2016","1.4613","1.4480","1.4672","1.4380","55.42K","0.79%"
"08/15/2016","1.4499","1.4145","1.4559","1.4099","46.82K","2.93%"
"08/12/2016","1.4086","1.3809","1.4148","1.3676","48.72K","1.71%"
"08/11/2016","1.3849","1.3122","1.3934","1.3060","85.04K","5.04%"
"08/10/2016","1.3184","1.3334","1.3564","1.3114","70.81K","-0.92%"
"08/09/2016","1.3307","1.3390","1.3576","1.3268","57.13K","-0.96%"
"08/08/2016","1.3436","1.3190","1.3529","1.3162","59.07K","2.02%"
"08/05/2016","1.3170","1.3210","1.3280","1.2990","67.69K","-0.67%"
"08/04/2016","1.3259","1.2969","1.3272","1.2697","69.45K","2.98%"
"08/03/2016","1.2875","1.2658","1.2979","1.2561","74.86K","2.26%"
"08/02/2016","1.2590","1.2632","1.2990","1.2466","64.03K","0.09%"
